model,target_win_rate,lower,upper,oof_win_rate,oof_coverage,holdout_win_rate,holdout_coverage,holdout_num_trades
h1,0.6,0.39047932624816895,0.609520673751831,0.6000852393805939,0.046926666666666665,0.5642553191489361,0.06604165964095819,11750.0
h1,0.65,0.34461186826229095,0.655388131737709,0.6550218340611353,0.0061066666666666665,0.5747986191024166,0.009768545060083858,1738.0
h1,0.7,0.31131502985954285,0.6886849701404572,0.6688741721854304,0.0010066666666666666,0.608955223880597,0.0018828898706145527,335.0
h3,0.6,0.4436497502028942,0.5563502497971058,0.5574063057703748,0.011206666666666667,0.5444510739856802,0.018840139839701436,3352.0
h3,0.65,0.4436497502028942,0.5563502497971058,0.5574063057703748,0.011206666666666667,0.5444510739856802,0.018840139839701436,3352.0
h3,0.7,0.4436497502028942,0.5563502497971058,0.5574063057703748,0.011206666666666667,0.5444510739856802,0.018840139839701436,3352.0
h6,0.6,0.45581522583961487,0.5441847741603851,0.6490066225165563,0.0010066666666666666,0.5040650406504065,0.0006913297136883283,123.0
h6,0.65,0.45581522583961487,0.5441847741603851,0.6490066225165563,0.0010066666666666666,0.5040650406504065,0.0006913297136883283,123.0
h6,0.7,0.45581522583961487,0.5441847741603851,0.6490066225165563,0.0010066666666666666,0.5040650406504065,0.0006913297136883283,123.0
h12,0.6,0.46219131350517273,0.5378086864948273,0.5695364238410596,0.0010066666666666666,0.6091954022988506,0.0004889893096819883,87.0
h12,0.65,0.46219131350517273,0.5378086864948273,0.5695364238410596,0.0010066666666666666,0.6091954022988506,0.0004889893096819883,87.0
h12,0.7,0.46219131350517273,0.5378086864948273,0.5695364238410596,0.0010066666666666666,0.6091954022988506,0.0004889893096819883,87.0
weighted,0.6,0.4280232787132263,0.5489522814750671,0.6008897362567525,0.04196,0.562176774800188,0.047819782146831684,8508.0
weighted,0.65,0.40866249799728394,0.5913375020027161,0.6754966887417219,0.0010066666666666666,0.6022304832713755,0.0015119324632695962,269.0
weighted,0.7,0.40866249799728394,0.5913375020027161,0.6754966887417219,0.0010066666666666666,0.6022304832713755,0.0015119324632695962,269.0
