accuracy,balanced_accuracy,f1,precision,recall,brier,logloss,auc,horizon,new_rows,start_idx
0.52955,0.5295451726590655,0.5217789072426938,0.5303781773093614,0.5134540362108633,0.24870732426643372,0.6905617030022773,0.5426578638392077,1,209,709382
0.51705,0.5170244542561135,0.4909081326094977,0.5187124081087102,0.4659329664832416,0.24992290139198303,0.6929983714824897,0.5205350051337513,3,209,709382
0.5084,0.5083501613360258,0.4382998171846435,0.51092168353756,0.38375350140056025,0.250104695558548,0.6933576483767309,0.5130018120802899,6,209,709382
0.5028,0.5025897025897026,0.3699949315762798,0.5039696237487056,0.2922922922922923,0.25038573145866394,0.6939218386867598,0.506048246048246,12,209,709382
